"RefNo","SupplierName","DatePosted","Details","PaymentMode","AmountDr","AmountCr","TransNo","AccountUsed","FormID","ItemName","Measures","Quantity","UnitCost","VehicleNo"
"YongXing Steel Company Ltd Payment On 24 August 2026 By 3:20:34 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","Payment Made","Cheque",0,138000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 24 August 2026 By 3:38:28 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","Payment Made","Cheque",0,94000000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 4:28:55 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","40 Tons Of 12 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",29520000,0,"OST24826162855"," ========== ","OST","12 MM LOCAL","Tons","40","738000.00","BEN 686 ZU Easy Link"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 4:30:00 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","6 Tons Of 16 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",4428000,0,"OST2482616300"," ========== ","OST","16 MM LOCAL","Tons","6","738000.00","BEN 686 ZU Easy Link"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 4:30:37 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","12 Tons Of 12MM TMT At N978,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",11736000,0,"OST24826163037"," ========== ","OST","12MM TMT","Tons","12","978000.00","BEN 686 ZU Easy Link"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 4:31:21 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","12 Tons Of 16MM TMT At N978,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",11736000,0,"OST24826163121"," ========== ","OST","16MM TMT","Tons","12","978000.00","BEN 686 ZU Easy Link"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 4:32:27 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","40 Tons Of 12 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (NCA 869 XA)."," ========== ",29520000,0,"OST24826163227"," ========== ","OST","12 MM LOCAL","Tons","40","738000.00","NCA 869 XA"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 4:33:13 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","10 Tons Of 16 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (NCA 869 XA)."," ========== ",7380000,0,"OST24826163313"," ========== ","OST","16 MM LOCAL","Tons","10","738000.00","NCA 869 XA"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 4:33:49 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","4 Tons Of 16MM TMT At N978,000.00 Per Unit Cost. Vehicle No (NCA 869 XA)."," ========== ",3912000,0,"OST24826163349"," ========== ","OST","16MM TMT","Tons","4","978000.00","NCA 869 XA"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 10:23:40 AM","YongXing Steel Company Ltd","2026-08-24 00:00:00","46 Tons Of 12 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (NWA 523 XA)."," ========== ",33948000,0,"OST25826102340"," ========== ","OST","12 MM LOCAL","Tons","46","738000.00","NWA 523 XA"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 10:24:31 AM","YongXing Steel Company Ltd","2026-08-24 00:00:00","16 Tons Of 16 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (NWA 523 XA)."," ========== ",11808000,0,"OST25826102431"," ========== ","OST","16 MM LOCAL","Tons","16","738000.00","NWA 523 XA"
"YongXing Steel Company Ltd Payment On 24 August 2026 By 10:25:33 AM","YongXing Steel Company Ltd","2026-08-24 00:00:00","Payment Made","Cheque",0,67000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 24 August 2026 By 10:29:12 AM","YongXing Steel Company Ltd","2026-08-24 00:00:00","Payment Made","Cheque",0,22892000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 24 August 2026 By 10:31:07 AM","YongXing Steel Company Ltd","2026-08-24 00:00:00","Payment Made","Cheque",0,8856000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 25 August 2026 By 10:33:43 AM","YongXing Steel Company Ltd","2026-08-25 00:00:00","Payment Made","Cheque",0,11420000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 25 August 2026 By 10:34:29 AM","YongXing Steel Company Ltd","2026-08-25 00:00:00","Payment Made","Cheque",0,46000000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 25 August 2026 By 2:01:57 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","Payment Made","Cheque",0,6077820,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 25 August 2026 By 2:56:18 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","Payment Made","Cheque",0,11000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 25 August 2026 By 2:57:00 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","Payment Made","Cheque",0,13172180,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 25 August 2026 By 4:14:51 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","20 Tons Of 12MM TMT At N975,000.00 Per Unit Cost. Vehicle No (RRT 782 XA)."," ========== ",19500000,0,"OST25826161451"," ========== ","OST","12MM TMT","Tons","20","975000.00","RRT 782 XA"
"Alloted To YongXing Steel Company Ltd On 25 August 2026 By 4:16:06 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","20 Tons Of 16MM TMT At N975,000.00 Per Unit Cost. Vehicle No (RRT 782 XA)."," ========== ",19500000,0,"OST2582616166"," ========== ","OST","16MM TMT","Tons","20","975000.00","RRT 782 XA"
"Alloted To YongXing Steel Company Ltd On 25 August 2026 By 4:17:10 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","20 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (RRT 782 XA)."," ========== ",14700000,0,"OST25826161710"," ========== ","OST","12 MM LOCAL","Tons","20","735000.00","RRT 782 XA"
"Alloted To YongXing Steel Company Ltd On 25 August 2026 By 4:17:44 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","10 Tons Of 16 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (RRT 782 XA)."," ========== ",7350000,0,"OST25826161744"," ========== ","OST","16 MM LOCAL","Tons","10","735000.00","RRT 782 XA"
"Alloted To YongXing Steel Company Ltd On 25 August 2026 By 4:49:17 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","50 Tons Of 16MM TMT At N975,000.00 Per Unit Cost. Vehicle No (SMK 550 YM MANKINSO BENIN)."," ========== ",48750000,0,"OST25826164917"," ========== ","OST","16MM TMT","Tons","50","975000.00","SMK 550 YM MANKINSO BENIN"
"Alloted To YongXing Steel Company Ltd On 25 August 2026 By 4:49:59 PM","YongXing Steel Company Ltd","2026-08-25 00:00:00","30 Tons Of 12MM TMT At N975,000.00 Per Unit Cost. Vehicle No (SMK 550 YM MANKINSO BENIN)."," ========== ",29250000,0,"OST25826164959"," ========== ","OST","12MM TMT","Tons","30","975000.00","SMK 550 YM MANKINSO BENIN"
"YongXing Steel Company Ltd Payment On 25 August 2026 By 10:59:01 AM","YongXing Steel Company Ltd","2026-08-25 00:00:00","Payment Made","Cheque",0,47000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 25 August 2026 By 11:05:43 AM","YongXing Steel Company Ltd","2026-08-25 00:00:00","Payment Made","Cheque",0,31000000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 1:55:45 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","60 Tons Of 12MM TMT At N975,000.00 Per Unit Cost. Vehicle No (ASB 53 YF Jude Benin)."," ========== ",58500000,0,"OST26826135545"," ========== ","OST","12MM TMT","Tons","60","975000.00","ASB 53 YF Jude Benin"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 1:56:20 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","70 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (NCA 869 XA)."," ========== ",51450000,0,"OST26826135620"," ========== ","OST","12 MM LOCAL","Tons","70","735000.00","NCA 869 XA"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 1:56:54 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","50 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (NWA 523 XA)."," ========== ",36750000,0,"OST26826135654"," ========== ","OST","12 MM LOCAL","Tons","50","735000.00","NWA 523 XA"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 1:57:24 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","20 Tons Of 16 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (NWA 523 XA)."," ========== ",14700000,0,"OST26826135724"," ========== ","OST","16 MM LOCAL","Tons","20","735000.00","NWA 523 XA"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 1:58:12 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,58000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 1:58:44 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,46400000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 1:59:25 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,57000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 3:25:30 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","60 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (ENU 946 XU Aloy Awka)."," ========== ",44100000,0,"OST26826152530"," ========== ","OST","12 MM LOCAL","Tons","60","735000.00","ENU 946 XU Aloy Awka"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 3:55:20 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","40 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (UWN 592 ZB MADAM FINAK)."," ========== ",29400000,0,"OST26826155520"," ========== ","OST","12 MM LOCAL","Tons","40","735000.00","UWN 592 ZB MADAM FINAK"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 3:56:13 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","26 Tons Of 16 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (UWN 592 ZB MADAM FINAK)."," ========== ",19110000,0,"OST26826155613"," ========== ","OST","16 MM LOCAL","Tons","26","735000.00","UWN 592 ZB MADAM FINAK"
"YongXing Steel Company Ltd Payment On 26 August 2026 By 4:01:42 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","Payment Made","Cheque",0,92610000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:05:00 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","40 Tons Of 12 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",29400000,0,"OST268261650"," ========== ","OST","12 MM LOCAL","Tons","40","735000.00","BEN 686 ZU Easy Link"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:05:33 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","20 Tons Of 16 MM LOCAL At N735,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",14700000,0,"OST2682616533"," ========== ","OST","16 MM LOCAL","Tons","20","735000.00","BEN 686 ZU Easy Link"
"Alloted To YongXing Steel Company Ltd On 26 August 2026 By 4:06:21 PM","YongXing Steel Company Ltd","2026-08-26 00:00:00","6 Tons Of 16MM TMT At N975,000.00 Per Unit Cost. Vehicle No (BEN 686 ZU Easy Link)."," ========== ",5850000,0,"OST2682616621"," ========== ","OST","16MM TMT","Tons","6","975000.00","BEN 686 ZU Easy Link"
